hid,save3,year,region,inc,save1,save2,m12,m18,m65,m18elem,m18sec,m18pos,f12,f18,f65,f18elem,f18sec,f18pos,of1,of2,of3,of4,of5,p0to5,p6to11,p12to17,p18to64,p65,of0,month,cpi,dev1,dev2,dev3,dev4,sd1,sd2,sd3,sd4,dvsq1,dvsq2,dvsq3,dvsq4
1.21e+08,-369.7997,76,19,492.1479,-199.7188,-199.7188,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,8,.6420833,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
1.21e+08,-766.8712,76,24,4596.273,2987.593,3078.206,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,7,.6400833,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
2.11e+08,1812.883,76,26,5318.055,1765.6,3020.026,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.11e+08,0,76,14,291.7546,31.60215,31.60215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,.6306667,-15.17941,-10.15588,256.7853,-38.25,54.32009,169.5218,194.8623,58.99903,230.4145,103.1419,65938.69,1463.063
2.10e+08,-46.42415,76,13,945.7744,-1.61404,-1.598873,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9,.6439167,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
1.21e+08,640.1869,76,19,1385.835,-1592.92,-324.9211,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,.6306667,83.51471,74.34706,53.27576,184.9441,33.94309,115.7548,130.024,103.8061,6974.706,5527.485,2838.306,34204.33
2.21e+08,-107.362,76,32,631.1677,-29.96079,.7140558,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7,.6400833,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
1.21e+08,-1725.732,76,19,4264.242,1022.209,2128.468,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,8,.6420833,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.21e+08,1474.259,76,32,1439.936,-1380.67,-625.8655,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,.6285,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,288.162,76,32,1441.332,168.7463,363.4503,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,3,.6306667,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,49.5356,76,32,2368.4,1956.572,1958.152,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,-560.7477,76,26,1044.926,-723.6866,-661.3813,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,.6306667,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
1.11e+08,-6.144393,76,9,811.8784,318.6848,324.8823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,.6454167,-10.41471,64.81765,55.73529,66.28236,36.85144,104.3601,148.7918,64.1443,108.4661,4201.327,3106.423,4393.35
1.11e+08,639.6255,76,9,2284.805,488.7426,869.5182,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,2,0,1,2,.6285,15.32059,64.81765,55.73529,29.84118,36.80098,104.3601,148.7918,64.9431,234.7204,4201.327,3106.423,890.4958
1.11e+08,145.5108,76,6,1575.247,150.7143,177.1261,2,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,1,2,2,3,0,0,4,.6329167,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
1.11e+08,-66.25578,76,6,1795.3,962.8865,1014.197,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,6,.6383333,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
2.21e+08,389.8305,76,32,2107.203,289.0295,686.1742,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,8,.6420833,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.21e+08,-308.1664,76,32,2457.963,50.72033,149.4366,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,6,.6383333,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.20e+08,-322.8793,76,31,2472.369,374.1943,542.0291,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,9,.6439167,13.80909,-14.70588,-36.73824,-3.170588,55.63842,91.98359,122.7065,96.15115,190.691,216.263,1349.698,10.05263
2.11e+08,-1102.964,76,13,1763.109,-706.0186,-400.9933,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,.6261666,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
3.21e+08,-417.8947,76,24,764.7136,151.3277,151.3905,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,4,.6329167,101.6647,-149.7212,64.84706,127.1382,63.51105,120.0491,107.2839,124.7622,10335.71,22416.44,4205.141,16164.13
2.11e+08,-845.5538,76,13,3376.098,-703.716,176.3809,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,1,.6261666,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
2.21e+08,-57.28549,76,32,984.8845,-188.8826,-57.39218,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0,1,0,0,1,2,3,1,0,2,.6285,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.11e+08,614.792,76,13,1828.423,-3.097862,98.92902,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,8,.6420833,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
2.21e+08,0,76,32,1245.03,430.7561,430.7561,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,123.2666,76,32,1978.59,807.1973,932.0304,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,6,.6383333,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,-159.5092,76,26,1029.553,-91.9263,-29.04286,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
1.21e+08,-893.6826,76,24,5600.516,3018.862,3209.992,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,8,.6420833,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
1.21e+08,-1058.471,76,24,2606.69,16.62087,207.3346,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,12,.65025,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
1.21e+08,-1874.233,76,19,2851.191,-1955.451,-160.9727,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,1,3,0,0,7,.6400833,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.11e+08,127.4363,76,11,1617.839,-505.8013,-359.9106,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,2,4,0,1,1,0,12,.65025,5.615,192.345,268.8722,45.085,37.26461,185.0496,181.6913,63.00763,31.52822,36996.6,72292.27,2032.657
2.11e+08,294.1176,76,26,1613.167,-43.30819,99.17067,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,4,.6329167,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
1.11e+08,736.1963,76,6,996.7451,-123288.7,-122951.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,7,.6400833,-22.37576,-52.43636,273.0818,145.5437,33.36157,99.81912,134.8266,59.59089,500.6745,2749.572,74573.68,21182.98
3.21e+08,436.1371,76,28,4967.758,3339.809,3775.946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,.6306667,48.56765,67.60588,-43.02353,166.2765,41.61229,127.8315,122.4276,143.9746,2358.816,4570.555,1851.024,27647.87
2.11e+08,2302.181,76,11,2822.41,-1564.806,737.3743,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,3,.6306667,20.42,192.345,268.8722,-4.79,37.00446,185.0496,181.6913,63.80203,416.9764,36996.6,72292.27,22.9441
2.11e+08,175.109,76,15,2069.239,-238.0665,-62.46995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,.6306667,25.09687,-37.12258,575.8,-18.50937,46.40903,258.2012,195.3148,63.78112,629.8531,1378.086,331545.6,342.597
2.12e+08,23.04147,76,26,2057.585,682.751,705.7924,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,10,.6454167,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
3.20e+08,7410.794,76,34,6217.605,1605.905,1914.339,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,0,12,.65025,-11.37059,-126.4059,-4.835294,11.64118,49.14167,147.6977,180.8496,147.0213,129.2903,15978.45,23.38007,135.517
2.11e+08,1066.978,76,26,4067.125,571.7301,1649.063,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,3,0,1,1,0,3,.6306667,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
3.20e+08,-3644.86,76,29,2454.545,510.9182,760.1394,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,.6306667,5.17353,-150.2118,-10.8,94.96764,65.07536,109.085,121.0867,125.3696,26.76541,22563.57,116.64,9018.854
2.11e+08,2461.656,76,13,4955.602,2262.068,3044.419,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,7,.6400833,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
2.21e+08,95.53159,76,32,950.9138,-121.9945,43.23502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,6,.6383333,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
1.11e+08,-312.0125,76,5,1941.13,362.2845,362.2845,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,0,1,2,.6285,51.14118,13,163.1912,87.87353,33.7533,117.8229,137.1127,94.11312,2615.42,169,26631.36,7721.757
2.11e+08,260.4006,76,15,2239.584,-238.3886,148.4598,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,1,0,0,8,.6420833,-.58125,-37.12258,575.8,-36.24688,46.6207,258.2012,195.3148,63.54251,.3378516,1378.086,331545.6,1313.836
2.11e+08,-464.3963,76,26,922.7122,-515.3682,-515.3682,2,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,3,0,0,4,.6329167,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
1.11e+08,-92.87926,76,6,2745.697,2044.423,2044.423,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,9,.6439167,-22.37576,-52.43636,273.0818,145.5437,33.36157,99.81912,134.8266,59.59089,500.6745,2749.572,74573.68,21182.98
2.10e+08,281.9723,76,13,2962.232,23.21547,452.0011,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1,8,.6420833,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
1.11e+08,265.2106,76,6,3465.531,-50.81809,799.7249,0,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,3,1,2,1,1,.6261666,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
1.21e+08,-1703.533,76,19,2531.698,357.7866,557.4793,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,2,0,10,.6454167,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
1.21e+08,-1649.175,76,24,888.8887,-1341.746,-1326.367,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,12,.65025,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
1.21e+08,662.5767,76,24,1315.454,-650.6694,-283.9051,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,7,.6400833,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
1.21e+08,-184.0874,76,19,1979.316,-3339.651,-2587.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,.6285,83.51471,74.34706,53.27576,184.9441,33.94309,115.7548,130.024,103.8061,6974.706,5527.485,2838.306,34204.33
2.11e+08,1177.57,76,13,3908.562,-2900.95,-920.238,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,3,.6306667,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
2.11e+08,560.3715,76,14,2382.296,591.179,843.5711,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,1,9,.6439167,-24.75294,-10.15588,256.7853,-46.17647,54.2164,169.5218,194.8623,58.83184,612.7081,103.1419,65938.69,2132.266
1.21e+08,-115.5624,76,24,6225.047,3833.329,3853.575,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,8,.6420833,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
2.11e+08,412.5767,76,13,2776.201,1142.651,1556.79,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,0,7,.6400833,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
1.21e+08,-1722.054,76,19,7715.387,3182.79,4553.69,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,11,.6476667,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
3.21e+08,1155.223,76,29,3851.775,137.4603,1295.782,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,10,.6454167,7.232353,-150.2118,-10.8,4.17353,65.06959,109.085,121.0867,126.422,52.30693,22563.57,116.64,17.41835
