hid,save3,year,region,inc,save1,save2,m12,m18,m65,m18elem,m18sec,m18pos,f12,f18,f65,f18elem,f18sec,f18pos,of1,of2,of3,of4,of5,p0to5,p6to11,p12to17,p18to64,p65,of0,month,cpi,dev1,dev2,dev3,dev4,sd1,sd2,sd3,sd4,dvsq1,dvsq2,dvsq3,dvsq4
2.11e+08,529.4117,76,26,905.3323,-1091.784,-555.9878,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,4,.6329167,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,329.3051,76,31,5041.172,3842.787,4172.092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,.6476667,13.80909,-14.70588,-36.73824,-3.170588,55.63842,91.98359,122.7065,96.15115,190.691,216.263,1349.698,10.05263
2.21e+08,-41.09589,76,27,905.1858,209.6,209.6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,5,.6363333,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
1.11e+08,157.5663,76,6,4238.484,-1312.071,-633.7636,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,1,.6261666,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
2.21e+08,-46.72897,76,27,965.6448,24.77887,24.77887,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,3,.6306667,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.12e+08,180.6626,76,26,2141.514,585.6508,768.0666,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,.6383333,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,15.47988,76,32,995.3916,-27.0801,-27.0801,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
3.21e+08,1164.11,76,28,4346.309,773.4848,1938.88,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,7,.6400833,-9.182353,67.60588,-43.02353,71.05589,42.40917,127.8315,122.4276,146.2666,84.31561,4570.555,1851.024,5048.938
2.11e+08,-1367.226,76,26,1096.606,-890.9625,-255.0387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,.6383333,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,1431.889,76,32,1063.331,-871.5134,-376.1573,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.11e+08,1.540832,76,15,2557.3,100.932,165.7299,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,8,.6420833,-.58125,-37.12258,575.8,-36.24688,46.6207,258.2012,195.3148,63.54251,.3378516,1378.086,331545.6,1313.836
2.21e+08,-294.1022,76,27,1497.088,-317.2587,-292.4457,0,1,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,2,1,2,1,0,9,.6439167,-44.14118,-92.77353,100.7441,48.36666,63.58572,168.922,188.1294,79.63072,1948.443,8606.928,10149.38,2339.334
3.21e+08,-104.2296,76,29,1496.14,-1231.284,-781.5405,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,11,.6476667,7.232353,-150.2118,-10.8,4.17353,65.06959,109.085,121.0867,126.422,52.30693,22563.57,116.64,17.41835
1.11e+08,31.15265,76,2,523.2556,-29.78766,-29.78766,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,.6306667,39.33235,33.28529,153.9677,26.45294,41.05972,165.0211,176.6474,101.5287,1547.034,1107.911,23706.04,699.7581
2.21e+08,-549.5356,76,32,1248.609,-259.2163,-259.2163,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,9,.6439167,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.10e+08,-414.7465,76,13,1854.616,392.1706,412.1797,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,2,1,0,10,.6454167,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
1.20e+08,-1281.734,76,17,1420.408,-563.7359,-65.28391,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,4,.6329167,62.59,-57.90645,-5.573333,212.3323,32.63063,98.90257,108.5992,149.7514,3917.508,3353.157,31.06204,45084.99
2.21e+08,-155.7632,76,27,1189.218,-144.3115,-144.3115,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,.6306667,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.21e+08,107.5269,76,32,1705.875,296.9005,409.0756,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,10,.6454167,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.11e+08,-279.5699,76,26,556.2297,-199.9292,-95.47451,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,10,.6454167,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.21e+08,195.0078,76,27,1831.781,708.4988,903.5066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,.6261666,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.11e+08,339.4216,76,14,1224.201,-862.9523,-523.5307,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,.6363333,-15.17941,-10.15588,256.7853,-38.25,54.32009,169.5218,194.8623,58.99903,230.4145,103.1419,65938.69,1463.063
2.21e+08,0,76,32,2062.231,49.19058,78.87421,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,3,2,1,0,0,7,.6400833,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.21e+08,185.6925,76,27,2101.1,1211.439,1402.074,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,5,.6363333,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
1.22e+08,2352.941,76,20,1837.525,-486.9207,-146.0434,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,4,.6329167,151,-133.15,-76.99117,36.53939,58.95229,79.57065,150.6927,68.34419,22801,17728.92,5927.641,1335.127
2.21e+08,-120.743,76,26,1517.277,-74.10427,-36.94255,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,9,.6439167,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
1.11e+08,489.1641,76,6,3627.799,48.12505,1113.691,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1,0,9,.6439167,-22.37576,-52.43636,273.0818,145.5437,33.36157,99.81912,134.8266,59.59089,500.6745,2749.572,74573.68,21182.98
2.21e+08,-294.4785,76,27,1398.255,-209.906,-31.7635,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,7,.6400833,-44.14118,-92.77353,100.7441,48.36666,63.58572,168.922,188.1294,79.63072,1948.443,8606.928,10149.38,2339.334
2.21e+08,536.2538,76,32,2726.711,-128.5224,647.7999,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,11,.6476667,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.21e+08,0,76,27,980.5696,314.2751,315.8722,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,.6261666,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
1.21e+08,-515.7421,76,19,1131.872,-210.2271,-180.0876,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,12,.65025,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
1.21e+08,-169.7819,76,19,1856.765,35.19163,649.4043,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,.6306667,83.51471,74.34706,53.27576,184.9441,33.94309,115.7548,130.024,103.8061,6974.706,5527.485,2838.306,34204.33
2.21e+08,-38.34356,76,26,1668.533,105.1924,116.1285,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.11e+08,607.1964,76,26,2189.927,580.3817,708.011,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,12,.65025,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.21e+08,1849.315,76,27,4541.645,2652.191,2763.224,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,2,1,1,0,5,.6363333,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
1.21e+08,-985.0075,76,19,1357.939,278.2721,495.8703,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,12,.65025,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.11e+08,-119.8501,76,11,1096.501,-813.4494,-751.0772,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,12,.65025,5.615,192.345,268.8722,45.085,37.26461,185.0496,181.6913,63.00763,31.52822,36996.6,72292.27,2032.657
2.21e+08,1538.222,76,32,2114.558,-138.8989,299.1907,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,2,.6285,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.10e+08,-996.9102,76,13,1665.793,-2019.245,-1388.369,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,0,1,5,.6363333,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
3.21e+08,-1069.337,76,24,2811.161,-2697.421,-1012.177,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,8,.6420833,-30.51176,-149.7212,64.84706,70.82941,65.65442,120.0491,107.2839,126.0704,930.9678,22416.44,4205.141,5016.806
1.11e+08,-264.7059,76,9,1744.305,-63.78402,454.5118,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,4,.6329167,15.32059,64.81765,55.73529,29.84118,36.80098,104.3601,148.7918,64.9431,234.7204,4201.327,3106.423,890.4958
2.21e+08,626.8882,76,27,2042.717,123.8204,907.9421,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,11,.6476667,-44.14118,-92.77353,100.7441,48.36666,63.58572,168.922,188.1294,79.63072,1948.443,8606.928,10149.38,2339.334
2.21e+08,26.19415,76,32,1566.58,342.8243,369.0184,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,6,.6383333,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.11e+08,-270.8978,76,11,2102.962,-661.7913,169.3339,2,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,2,4,2,2,0,0,4,.6329167,20.42,192.345,268.8722,-4.79,37.00446,185.0496,181.6913,63.80203,416.9764,36996.6,72292.27,22.9441
2.10e+08,-54.17957,76,13,1143.005,153.8309,226.5964,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,9,.6439167,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
2.11e+08,1176.287,76,15,3299.441,-4678.093,177.8695,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,.6261666,25.09687,-37.12258,575.8,-18.50937,46.40903,258.2012,195.3148,63.78112,629.8531,1378.086,331545.6,342.597
2.11e+08,298.7616,76,26,1440.948,-1421.525,-810.006,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,4,.6329167,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,-449.7751,76,32,888.8887,218.4536,218.4536,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,12,.65025,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.11e+08,264.3505,76,26,2041.173,-169.7658,83.06835,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,11,.6476667,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.11e+08,-291.0217,76,14,1264.139,-313.2857,-138.3581,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,3,0,2,0,0,9,.6439167,-24.75294,-10.15588,256.7853,-46.17647,54.2164,169.5218,194.8623,58.83184,612.7081,103.1419,65938.69,2132.266
3.21e+08,287.2504,76,29,1352.615,-167.8225,119.4279,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,.6454167,7.232353,-150.2118,-10.8,4.17353,65.06959,109.085,121.0867,126.422,52.30693,22563.57,116.64,17.41835
1.21e+08,15806.85,76,19,6147.461,2128.962,3161.572,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,3,.6306667,83.51471,74.34706,53.27576,184.9441,33.94309,115.7548,130.024,103.8061,6974.706,5527.485,2838.306,34204.33
3.21e+08,993.808,76,24,2290.981,536.451,615.4503,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,2,2,2,2,0,0,4,.6329167,101.6647,-149.7212,64.84706,127.1382,63.51105,120.0491,107.2839,124.7622,10335.71,22416.44,4205.141,16164.13
2.21e+08,99.84399,76,32,997.6133,43.29825,175.3984,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,0,2,.6285,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,1517.028,76,32,927.4521,-2173.223,-806.5138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.21e+08,-143.2974,76,26,1619.843,-362.6708,-242.4602,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,6,.6383333,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,21.30898,76,27,861.1838,325.6026,347.6036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,.6363333,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.21e+08,-116.8224,76,26,1721.987,-417.5097,118.8477,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,0,3,.6306667,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
1.20e+08,-1671.803,76,17,1643.089,-1436.196,-639.0161,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,8,.6420833,-4.473333,-57.90645,-5.573333,114.2677,34.56616,98.90257,108.5992,153.1657,20.01071,3353.157,31.06204,13057.12
2.20e+08,258.567,76,31,2378.435,1.338642,313.8168,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3,.6306667,-39.66364,-14.70588,-36.73824,149.8,55.2603,91.98359,122.7065,92.65401,1573.204,216.263,1349.698,22440.04
2.11e+08,-383.5616,76,13,2437.402,246.5969,782.2092,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,.6363333,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
2.21e+08,-77.88162,76,27,1420.719,-.0098793,3.161368,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,3,.6306667,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.20e+08,297.2136,76,31,2346.577,467.8162,843.481,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,9,.6439167,13.80909,-14.70588,-36.73824,-3.170588,55.63842,91.98359,122.7065,96.15115,190.691,216.263,1349.698,10.05263
2.21e+08,0,76,32,608.7744,-313.9063,-163.6914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,.6439167,-29.97941,-97.27941,-55.50882,-7.664706,28.61957,110.1495,143.6269,91.23901,898.7651,9463.284,3081.229,58.74771
2.11e+08,-278.6378,76,26,1561.027,-583.5958,-399.3973,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,4,.6329167,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.21e+08,-228.3105,76,27,1274.489,52.06931,52.06931,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,4,1,0,5,.6363333,-29.11176,-92.77353,100.7441,46.61515,63.84005,168.922,188.1294,79.6624,847.4949,8606.928,10149.38,2172.972
2.21e+08,144.1718,76,26,1756.021,365.7369,488.5505,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.11e+08,809.8159,76,26,1298.268,-455.2559,303.9466,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,7,.6400833,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
1.21e+08,-1783.282,76,19,2195.936,-527.1342,-370.7724,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,3,3,0,0,9,.6439167,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.21e+08,394.6958,76,32,1177.406,-146.7588,251.1105,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,3,0,0,2,.6285,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
1.21e+08,545.7571,76,19,5657.82,476.5289,1144.333,1,0,0,3,0,0,1,2,1,1,0,0,0,0,0,0,1,4,2,2,4,1,0,12,.65025,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
1.20e+08,-1033.898,76,17,643.864,-2807.765,-1440.963,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6,.6383333,62.59,-57.90645,-5.573333,212.3323,32.63063,98.90257,108.5992,149.7514,3917.508,3353.157,31.06204,45084.99
1.11e+08,-46.08295,76,9,593.415,169.3988,169.3988,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,10,.6454167,-10.41471,64.81765,55.73529,66.28236,36.85144,104.3601,148.7918,64.1443,108.4661,4201.327,3106.423,4393.35
2.11e+08,-1232.449,76,13,1553.899,-1154.469,-886.1703,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,1,.6261666,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
3.21e+08,-389.4081,76,28,7955.07,5234.216,6483.493,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,.6306667,48.56765,67.60588,-43.02353,166.2765,41.61229,127.8315,122.4276,143.9746,2358.816,4570.555,1851.024,27647.87
2.11e+08,-298.0031,76,26,537.637,-93.69922,-7.677715,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10,.6454167,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.10e+08,-215.0538,76,13,2449.58,-51.28069,-14.36118,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,2,4,2,0,0,10,.6454167,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
1.20e+08,-438.0665,76,10,1002.059,-250.3743,-250.3743,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,11,.6476667,-8.832059,142.9941,116.9353,-57.45882,45.96748,140.3669,193.7277,84.65757,78.00526,20447.32,13673.86,3301.516
1.20e+08,518.5759,76,17,1895.984,637.9144,1070.651,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,4,.6329167,62.59,-57.90645,-5.573333,212.3323,32.63063,98.90257,108.5992,149.7514,3917.508,3353.157,31.06204,45084.99
3.21e+08,-686.4275,76,29,1237.689,186.8437,436.4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.6261666,5.17353,-150.2118,-10.8,94.96764,65.07536,109.085,121.0867,125.3696,26.76541,22563.57,116.64,9018.854
3.21e+08,-545.1713,76,28,1894.82,124.4262,137.1112,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,1,3,.6306667,48.56765,67.60588,-43.02353,166.2765,41.61229,127.8315,122.4276,143.9746,2358.816,4570.555,1851.024,27647.87
2.21e+08,-411.8565,76,32,1010.913,-361.6754,-220.4567,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,1,.6261666,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
2.11e+08,-74.96252,76,26,1179.546,374.2558,374.2558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,12,.65025,-1.1,119.1971,-38.65,147.1059,39.9671,122.7939,158.2939,71.55458,1.21,14207.94,1493.823,21640.14
2.11e+08,674.9226,76,11,3038.314,979.6312,1477.111,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,4,.6329167,20.42,192.345,268.8722,-4.79,37.00446,185.0496,181.6913,63.80203,416.9764,36996.6,72292.27,22.9441
3.21e+08,-611.148,76,28,5705.094,1943.167,2462.012,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,11,.6476667,-9.182353,67.60588,-43.02353,71.05589,42.40917,127.8315,122.4276,146.2666,84.31561,4570.555,1851.024,5048.938
3.21e+08,529.595,76,28,3681.818,1746.539,2276.134,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,1,3,.6306667,48.56765,67.60588,-43.02353,166.2765,41.61229,127.8315,122.4276,143.9746,2358.816,4570.555,1851.024,27647.87
2.11e+08,399.376,76,26,878.3604,-953.3007,-553.9247,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,1,.6261666,76.51765,119.1971,-38.65,42.20882,37.74985,122.7939,158.2939,75.52906,5854.95,14207.94,1493.823,1781.585
2.11e+08,168.4867,76,14,1406.523,249.8657,343.4694,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,.6285,-15.17941,-10.15588,256.7853,-38.25,54.32009,169.5218,194.8623,58.99903,230.4145,103.1419,65938.69,1463.063
1.11e+08,694.1529,76,9,1007.305,-464.3866,-218.4709,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2,4,0,1,12,.65025,-10.41471,64.81765,55.73529,66.28236,36.85144,104.3601,148.7918,64.1443,108.4661,4201.327,3106.423,4393.35
3.21e+08,-516.1787,76,28,769.3704,-360.1257,-306.1966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,.6420833,-9.182353,67.60588,-43.02353,71.05589,42.40917,127.8315,122.4276,146.2666,84.31561,4570.555,1851.024,5048.938
2.20e+08,2145.086,76,31,6124.566,2019.23,3697.894,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,1,.6261666,-39.66364,-14.70588,-36.73824,149.8,55.2603,91.98359,122.7065,92.65401,1573.204,216.263,1349.698,22440.04
2.11e+08,-1047.988,76,11,936.9321,-854.2815,-600.3795,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,.6329167,20.42,192.345,268.8722,-4.79,37.00446,185.0496,181.6913,63.80203,416.9764,36996.6,72292.27,22.9441
2.11e+08,-480.7396,76,11,1479.559,-173.1621,-113.9798,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,8,.6420833,5.615,192.345,268.8722,45.085,37.26461,185.0496,181.6913,63.00763,31.52822,36996.6,72292.27,2032.657
3.20e+08,-9284.627,76,29,1885.804,-3344.218,-2711.342,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,5,.6363333,5.17353,-150.2118,-10.8,94.96764,65.07536,109.085,121.0867,125.3696,26.76541,22563.57,116.64,9018.854
